site_ID,cameraID,plot_ID,reserve
LA_S01,ECO_01,LA_S01_P03,Lapalala
LA_S02,ECO_05,LA_S02_P03,Lapalala
LA_S03,ECO_02,LA_S03_P03,Lapalala
LA_S04,ECO_03,LA_S04_P03,Lapalala
LA_S05,ECO_04,LA_S05_P03,Lapalala
JE_S01,ECO_06,JE_S01_P03,Jembisa
JE_S02,ECO_07,JE_S02_P03,Jembisa
JE_S03,ECO_08,JE_S03_P03,Jembisa
JE_S04,ECO_09,JE_S04_P03,Jembisa
JE_S05,ECO_10,JE_S05_P03,Jembisa
WI_S01,ECO_11,WI_S01_P03,Willowisp
WI_S02,ECO_12,WI_S02_P03,Willowisp
WI_S03,ECO_13,WI_S03_P03,Willowisp
WI_S04,ECO_14,WI_S04_P03,Willowisp
WI_S05,ECO_15,WI_S05_P03,Willowisp
SY_S01,ECO_16,SY_S01_P03,Syringa Sands
SY_S02,ECO_17,SY_S02_P03,Syringa Sands
SY_S03,ECO_18,SY_S03_P03,Syringa Sands
SY_S04,ECO_19,SY_S04_P03,Syringa Sands
SY_S05,ECO_20,SY_S05_P03,Syringa Sands
SU_S01,ECO_21,SU_S01_P03,Summerplace
SU_S02,ECO_22,SU_S02_P03,Summerplace
SU_S03,ECO_23,SU_S03_P03,Summerplace
SU_S04,ECO_24,SU_S04_P03,Summerplace
SU_S05,ECO_25,SU_S05_P03,Summerplace
DA_S01,ECO_26,DA_S01_P03,Dabchick
DA_S02,ECO_27,DA_S02_P03,Dabchick
DA_S03,ECO_28,DA_S03_P03,Dabchick
DA_S04,ECO_29,DA_S04_P03,Dabchick
DA_S05,ECO_30,DA_S05_P03,Dabchick
AN_S01,ECO_31,AN_S01_P03,Ant's Farm
AN_S02,ECO_32,AN_S02_P03,Ant's Farm
AN_S03,ECO_33,AN_S03_P03,Ant's Farm
AN_S04,ECO_34,AN_S04_P03,Ant's Farm
AN_S05,ECO_35,AN_S05_P03,Ant's Farm
KA_S01,ECO_36,KA_S01_P03,Kaingo
KA_S02,ECO_37,KA_S02_P03,Kaingo
KA_S03,ECO_38,KA_S03_P03,Kaingo
KA_S04,ECO_39,KA_S04_P03,Kaingo
KA_S05,ECO_40,KA_S05_P03,Kaingo
SW_S01,ECO_41,SW_S01_P03,Swebeswebe
SW_S02,ECO_42,SW_S02_P03,Swebeswebe
SW_S03,ECO_43,SW_S03_P03,Swebeswebe
SW_S04,ECO_44,SW_S04_P03,Swebeswebe
SW_S05,ECO_45,SW_S05_P03,Swebeswebe
MA_S01,ECO_46,MA_S01_P03,Marakele
MA_S02,ECO_47,MA_S02_P03,Marakele
MA_S03,ECO_48,MA_S03_P03,Marakele
MA_S04,ECO_49,MA_S04_P03,Marakele
MA_S05,ECO_50,MA_S05_P03,Marakele
